N,Case,Algorithm,AvgTime_us,AvgComps
1600,Reversed,MSDCutoff,216.243,24657
1600,AlmostSorted,QuickStd,603.471,240022
1600,AlmostSorted,MergeStd,998.729,33089
1600,AlmostSorted,Quick3Way,325.214,41867
1600,AlmostSorted,MergeLCP,826.114,28960
1600,AlmostSorted,MSDRadix,580.743,0
1600,AlmostSorted,MSDCutoff,140.229,9635
1700,Random,QuickStd,664.414,254227
1700,Random,MergeStd,1327.86,38454
1700,Random,Quick3Way,187.529,18053
1700,Random,MergeLCP,1095.04,36432
1700,Random,MSDRadix,476.371,0
1700,Random,MSDCutoff,123.986,6381
1700,Reversed,QuickStd,567.957,239756
1700,Reversed,MergeStd,1120.56,22720
1700,Reversed,Quick3Way,399.4,55672
1700,Reversed,MergeLCP,867.257,17189
1700,Reversed,MSDRadix,563.743,0
1700,Reversed,MSDCutoff,239,26523
1700,AlmostSorted,QuickStd,682.057,262410
1700,AlmostSorted,MergeStd,1144.8,36044
1700,AlmostSorted,Quick3Way,352.014,45802
1700,AlmostSorted,MergeLCP,864.743,31476
1700,AlmostSorted,MSDRadix,570.4,0
1700,AlmostSorted,MSDCutoff,137.929,10305
1800,Random,QuickStd,808.414,271887
1800,Random,MergeStd,1323.63,41150
1800,Random,Quick3Way,228.4,20365
1800,Random,MergeLCP,1178.46,38927
1800,Random,MSDRadix,501.886,0
1800,Random,MSDCutoff,122.529,7143
1800,Reversed,QuickStd,547.314,239782
1800,Reversed,MergeStd,1064.73,24418
1800,Reversed,Quick3Way,483.371,60554
1800,Reversed,MergeLCP,862.743,18191
1800,Reversed,MSDRadix,641.043,0
1800,Reversed,MSDCutoff,263.286,28205
1800,AlmostSorted,QuickStd,726.629,277008
1800,AlmostSorted,MergeStd,1144.9,38199
1800,AlmostSorted,Quick3Way,244.629,30015
1800,AlmostSorted,MergeLCP,950.457,33333
1800,AlmostSorted,MSDRadix,666.543,0
1800,AlmostSorted,MSDCutoff,174.3,11009
1900,Random,QuickStd,778.471,291866
1900,Random,MergeStd,1500.27,43854
1900,Random,Quick3Way,216.871,20400
1900,Random,MergeLCP,1334,41598
1900,Random,MSDRadix,504.214,0
1900,Random,MSDCutoff,135.171,7313
1900,Reversed,QuickStd,570.914,240696
1900,Reversed,MergeStd,1303.47,26035
1900,Reversed,Quick3Way,455.414,66560
1900,Reversed,MergeLCP,894.457,19122
1900,Reversed,MSDRadix,652.9,0
1900,Reversed,MSDCutoff,284.014,30100
1900,AlmostSorted,QuickStd,785.4,281974
1900,AlmostSorted,MergeStd,1277.67,39989
1900,AlmostSorted,Quick3Way,273.186,33151
1900,AlmostSorted,MergeLCP,1054.74,34824
1900,AlmostSorted,MSDRadix,653.757,0
1900,AlmostSorted,MSDCutoff,204.814,11476
2000,Random,QuickStd,802.1,302618
2000,Random,MergeStd,1756.41,46598
2000,Random,Quick3Way,266.357,23574
2000,Random,MergeLCP,1423.41,44220
2000,Random,MSDRadix,634.243,0
2000,Random,MSDCutoff,204.886,8050
2000,Reversed,QuickStd,667.843,240192
2000,Reversed,MergeStd,1261.29,27914
2000,Reversed,Quick3Way,499.943,72912
2000,Reversed,MergeLCP,1042.57,21783
2000,Reversed,MSDRadix,665.514,0
2000,Reversed,MSDCutoff,282.729,31631
2000,AlmostSorted,QuickStd,804.729,306725
2000,AlmostSorted,MergeStd,1368.26,42402
2000,AlmostSorted,Quick3Way,255.614,30029
2000,AlmostSorted,MergeLCP,1128.69,38963
2000,AlmostSorted,MSDRadix,697.071,0
2000,AlmostSorted,MSDCutoff,159.257,12126
2100,Random,QuickStd,849.357,309872
2100,Random,MergeStd,1552.09,49350
2100,Random,Quick3Way,241.657,23736
2100,Random,MergeLCP,1398.46,46703
2100,Random,MSDRadix,613.1,0
2100,Random,MSDCutoff,164.4,8398
2100,Reversed,QuickStd,627.5,250193
2100,Reversed,MergeStd,1320,29490
2100,Reversed,Quick3Way,567.2,79715
2100,Reversed,MergeLCP,1192.53,23868
2100,Reversed,MSDRadix,718.571,0
2100,Reversed,MSDCutoff,327.214,33170
2100,AlmostSorted,QuickStd,935.4,319418
2100,AlmostSorted,MergeStd,1503.5,45432
2100,AlmostSorted,Quick3Way,337.729,41309
2100,AlmostSorted,MergeLCP,1260.76,42616
2100,AlmostSorted,MSDRadix,801.871,0
2100,AlmostSorted,MSDCutoff,170.086,12325
2200,Random,QuickStd,913.486,334018
2200,Random,MergeStd,1781.31,52292
2200,Random,Quick3Way,274.314,26713
2200,Random,MergeLCP,1514.59,49217
2200,Random,MSDRadix,642.329,0
2200,Random,MSDCutoff,153.1,9072
2200,Reversed,QuickStd,651.3,280326
2200,Reversed,MergeStd,1366.86,30642
2200,Reversed,Quick3Way,603.629,86325
2200,Reversed,MergeLCP,1199.7,24894
2200,Reversed,MSDRadix,722.6,0
2200,Reversed,MSDCutoff,327.471,34817
2200,AlmostSorted,QuickStd,862.443,336235
2200,AlmostSorted,MergeStd,1476.39,48271
2200,AlmostSorted,Quick3Way,458.786,56253
2200,AlmostSorted,MergeLCP,1283.71,44722
2200,AlmostSorted,MSDRadix,774.657,0
2200,AlmostSorted,MSDCutoff,187.8,13024
2300,Random,QuickStd,925.186,347157
2300,Random,MergeStd,1744.24,55069
2300,Random,Quick3Way,288.329,23439
2300,Random,MergeLCP,1562.21,51934
2300,Random,MSDRadix,705.814,0
2300,Random,MSDCutoff,191.843,9984
2300,Reversed,QuickStd,739.643,302561
